sizing,option_rule,p_hit_1000,p_ruin,median_final,p95_final,p_profit,p_under_25
25%,"7DTE, +80% target",0.00015,0.0001,87.16,212.1,0.3826,0.0
25%,"7DTE, +150% target",0.00035,0.0,88.99,221.85,0.4153,0.0
25%,"14DTE, +250% target",0.0002,0.0,90.79,226.08,0.423,0.0
40%,"7DTE, +80% target",0.0007,0.1371,72.9,271.24,0.3382,0.0048
40%,"7DTE, +150% target",0.00105,0.0616,76.75,291.64,0.3625,0.0004
40%,"14DTE, +250% target",0.00085,0.0129,80.47,294.96,0.3874,0.0001
60%,"7DTE, +80% target",0.00455,0.4165,47.89,347.05,0.2979,0.1087
60%,"7DTE, +150% target",0.00535,0.3918,53.23,372.26,0.3283,0.1091
60%,"14DTE, +250% target",0.0037,0.286,62.57,377.26,0.3466,0.0603
100%,"7DTE, +80% target",0.01975,0.6809,26.75,443.93,0.2228,0.4618
100%,"7DTE, +150% target",0.0227,0.6747,26.8,490.31,0.25,0.4644
100%,"14DTE, +250% target",0.02215,0.6226,29.93,525.43,0.2704,0.4069
